name,area,dinner_price,lunch_price,url
串焼きと野菜巻きと九州料理の個室居酒屋 串ばってん 新宿店 - クーポン・予約のホットペッパーグルメ,新宿東口,3001～4000円,,https://www.hotpepper.jp/strJ003433468/
思い出横丁 鳥園 - クーポン・予約のホットペッパーグルメ,新宿西口,2001～3000円,501～1000円,https://www.hotpepper.jp/strJ000762068/
とりいちず 西武新宿駅前店 - クーポン・予約のホットペッパーグルメ,歌舞伎町,1501～2000円,501～1000円,https://www.hotpepper.jp/strJ001144175/
焼き鳥居酒屋 TORIEN 新宿思い出横丁 西口 - クーポン・予約のホットペッパーグルメ,新宿南口,2001～3000円,501～1000円,https://www.hotpepper.jp/strJ003873099/
居酒屋 串十郎 新宿本店 - クーポン・予約のホットペッパーグルメ,歌舞伎町,3001～4000円,,https://www.hotpepper.jp/strJ004089846/
居酒屋さくら 新宿三丁目 - クーポン・予約のホットペッパーグルメ,新宿三丁目,5001～7000円,,https://www.hotpepper.jp/strJ001212485/
個室居酒屋 あそばれ 新宿東口 - クーポン・予約のホットペッパーグルメ,新宿東口,3001～4000円,501～1000円,https://www.hotpepper.jp/strJ001265431/
炭火焼き鳥 大人気 新宿本店 - クーポン・予約のホットペッパーグルメ,新宿東口,2001～3000円,2001～3000円,https://www.hotpepper.jp/strJ001259206/
居酒屋一兆新宿本店 - クーポン・予約のホットペッパーグルメ,新宿西口,3001～4000円,2001～3000円,https://www.hotpepper.jp/strJ001192750/
居酒屋 ござる 新宿 本店 - クーポン・予約のホットペッパーグルメ,新宿東口,2001～3000円,2001～3000円,https://www.hotpepper.jp/strJ003560325/
鮨鶏まみれ - クーポン・予約のホットペッパーグルメ,新宿東口,2001～3000円,1001～1500円,https://www.hotpepper.jp/strJ004090765/
完全個室居酒屋 九州よしき 新宿店 - クーポン・予約のホットペッパーグルメ,新宿三丁目,2001～3000円,2001～3000円,https://www.hotpepper.jp/strJ001147544/
居酒屋 ますや 新宿店 - クーポン・予約のホットペッパーグルメ,新宿東口,2001～3000円,501～1000円,https://www.hotpepper.jp/strJ003917494/
居酒屋 TONTON トントン 新宿東口店 - クーポン・予約のホットペッパーグルメ,新宿東口,2001～3000円,501～1000円,https://www.hotpepper.jp/strJ003389396/
北の味紀行と地酒 北海道 新宿三丁目店 - クーポン・予約のホットペッパーグルメ,新宿三丁目,4001～5000円,501～1000円,https://www.hotpepper.jp/strJ000773173/
たまごのきもち 新宿東口駅前店 - クーポン・予約のホットペッパーグルメ,新宿東口,3001～4000円,,https://www.hotpepper.jp/strJ001001536/
【個室×3時間食べ飲み放題】 個室肉バル居酒屋 ます屋 新宿店 - クーポン・予約のホットペッパーグルメ,歌舞伎町,2001～3000円,501～1000円,https://www.hotpepper.jp/strJ003625005/
肴と地酒 徳吉 新宿西口店 - クーポン・予約のホットペッパーグルメ,新宿西口,3001～4000円,501～1000円,https://www.hotpepper.jp/strJ003737126/
居酒屋 笑い蔵 新宿東口店 - クーポン・予約のホットペッパーグルメ,新宿東口,2001～3000円,1501～2000円,https://www.hotpepper.jp/strJ001143670/
焼売のジョー 西武新宿店 - クーポン・予約のホットペッパーグルメ,西武新宿,2001～3000円,,https://www.hotpepper.jp/strJ003917538/
居酒屋 ミッションコンボ 新宿東口 - クーポン・予約のホットペッパーグルメ,歌舞伎町,2001～3000円,1001～1500円,https://www.hotpepper.jp/strJ004068319/
トロ匠 新宿三丁目店 - クーポン・予約のホットペッパーグルメ,新宿東口,3001～4000円,501～1000円,https://www.hotpepper.jp/strJ003829732/
全席個室 鮮魚と日本酒の店 黒潮 新宿西口店 - クーポン・予約のホットペッパーグルメ,新宿西口,3001～4000円,,https://www.hotpepper.jp/strJ003625195/
Grill de Viento グリルド ビエント 新宿店 - クーポン・予約のホットペッパーグルメ,新宿西口,3001～4000円,501～1000円,https://www.hotpepper.jp/strJ000650240/
個室居酒屋 ゆうたん 新宿東口店 - クーポン・予約のホットペッパーグルメ,新宿東口,2001～3000円,,https://www.hotpepper.jp/strJ001128870/
焼き鳥と自家製サワーてけレモンのお店 てけてけ 新宿総本店 - クーポン・予約のホットペッパーグルメ,新宿西口,2001～3000円,501～1000円,https://www.hotpepper.jp/strJ001144347/
個室居酒屋 美味か UMAKA 新宿南口店 - クーポン・予約のホットペッパーグルメ,新宿東口,3001～4000円,3001～4000円,https://www.hotpepper.jp/strJ001281778/
北国酒場 んだんだ 新宿三丁目店 - クーポン・予約のホットペッパーグルメ,新宿三丁目,3001～4000円,501～1000円,https://www.hotpepper.jp/strJ000761956/
三代目みつる 新宿店 - クーポン・予約のホットペッパーグルメ,新宿東口,3001～4000円,1501～2000円,https://www.hotpepper.jp/strJ003829085/
かにざんまい 新宿店 - クーポン・予約のホットペッパーグルメ,新宿西口,4001～5000円,4001～5000円,https://www.hotpepper.jp/strJ003917337/
Le Casterl ルーキャステル 新宿店 - クーポン・予約のホットペッパーグルメ,新宿東口,2001～3000円,2001～3000円,https://www.hotpepper.jp/strJ000716986/
九蔵 kyuzou 新宿店 - クーポン・予約のホットペッパーグルメ,新宿西口,3001～4000円,501～1000円,https://www.hotpepper.jp/strJ003942122/
ウメ子の家 新宿東口店 - クーポン・予約のホットペッパーグルメ,新宿東口,3001～4000円,,https://www.hotpepper.jp/strJ000718006/
個室居酒屋 あかり 新宿西口店 - クーポン・予約のホットペッパーグルメ,新宿西口,3001～4000円,501～1000円,https://www.hotpepper.jp/strJ003851682/
夜景 肉割烹 五条 新宿野村ビル49F - クーポン・予約のホットペッパーグルメ,新宿西口,5001～7000円,2001～3000円,https://www.hotpepper.jp/strJ001010167/
億万鳥者 新宿本殿 - クーポン・予約のホットペッパーグルメ,新宿東口,3001～4000円,501～1000円,https://www.hotpepper.jp/strJ001295015/
